"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","改正事由"
"24525","三重県","志摩郡","しまぐん","磯部町","いそべちょう","2004-10-01","浜島町(24521)、大王町(24522)、志摩町(24523)、阿児町(24524)、磯部町(24525)が合併し、志摩市(24215)を新設
志摩郡(24520)の廃止"
"24541","三重県","北牟婁郡","きたむろぐん","長島町","ながしまちょう","1970-08-01","長島町(24541)が紀伊長島町(24541)に名称変更"
"24541","三重県","北牟婁郡","きたむろぐん","紀伊長島町","きいながしまちょう","1970-08-01","長島町(24541)が紀伊長島町(24541)に名称変更"
"24541","三重県","北牟婁郡","きたむろぐん","紀伊長島町","きいながしまちょう","2005-10-11","紀伊長島町(24541)、海山町(24542)が合併し、紀北町(24543)を新設"
"24542","三重県","北牟婁郡","きたむろぐん","海山町","みやまちょう","2005-10-11","紀伊長島町(24541)、海山町(24542)が合併し、紀北町(24543)を新設"
"24543","三重県","北牟婁郡","きたむろぐん","紀北町","きほくちょう","2005-10-11","紀伊長島町(24541)、海山町(24542)が合併し、紀北町(24543)を新設"
"24562","三重県","南牟婁郡","みなみむろぐん","紀宝町","きほうちょう","2006-01-10","紀宝町(24562)、鵜殿村(24564)が合併し、紀宝町を新設"
"24563","三重県","南牟婁郡","みなみむろぐん","紀和町","きわちょう","2005-11-01","熊野市(24212)、紀和町(24563)が合併し、熊野市を新設"
"24564","三重県","南牟婁郡","みなみむろぐん","鵜殿村","うどのむら","2006-01-10","紀宝町(24562)、鵜殿村(24564)が合併し、紀宝町を新設"
"25201","滋賀県","","","大津市","おおつし","2001-04-01","大津市(25201)が特例市に移行"
"25201","滋賀県","","","大津市","おおつし","2006-03-20","志賀町(25301)が大津市(25201)に編入
滋賀郡(25300)の廃止"
"25201","滋賀県","","","大津市","おおつし","2009-04-01","大津市(25201)が特例市から中核市に移行"
"25203","滋賀県","","","長浜市","ながはまし","2006-02-13","長浜市(25203)、浅井町(25481)、びわ町(25484)が合併し、長浜市を新設"
"25203","滋賀県","","","長浜市","ながはまし","2010-01-01","虎姫町(25482)、湖北町(25483)、高月町(25501)、木之本町(25502)、余呉町(25503)、西浅井町(25504)が長浜市(25203)に編入
伊香郡(25500)の廃止
東浅井郡(25480)の廃止"
"25204","滋賀県","","","近江八幡市","おうみはちまんし","2010-03-21","近江八幡市(25204)、安土町(25381)が合併し、近江八幡市を新設"
"25205","滋賀県","","","八日市市","ようかいちし","2005-02-11","八日市市(25205)、永源寺町(25401)、五個荘町(25402)、愛東町(25421)、湖東町(25422)が合併し、東近江市(25213)を新設"
"25207","滋賀県","","","守山市","もりやまし","1970-07-01","守山町(25341)が守山市(25207)に市制施行"
"25208","滋賀県","","","栗東市","りっとうし","2001-10-01","栗東町(25321)が栗東市(25208)に市制施行
栗太郡(25320)の廃止"
"25209","滋賀県","","","甲賀市","こうかし","2004-10-01","水口町(25363)、土山町(25364)、甲賀町(25365)、甲南町(25366)、信楽町(25367)が合併し、甲賀市(25209)を新設"
"25210","滋賀県","","","野洲市","やすし","2004-10-01","中主町(25342)、野洲町(25343)が合併し、野洲市(25210)を新設
野洲郡(25340)の廃止"
"25211","滋賀県","","","湖南市","こなんし","2004-10-01","石部町(25361)、甲西町(25362)が合併し、湖南市(25211)を新設
甲賀郡(25360)の廃止"
"25212","滋賀県","","","高島市","たかしまし","2005-01-01","マキノ町(25521)、今津町(25522)、朽木村(25523)、安曇川町(25524)、高島町(25525)、新旭町(25526)が合併し、高島市(25212)を新設
高島郡(25520)の廃止"
"25213","滋賀県","","","東近江市","ひがしおうみし","2005-02-11","八日市市(25205)、永源寺町(25401)、五個荘町(25402)、愛東町(25421)、湖東町(25422)が合併し、東近江市(25213)を新設"
"25213","滋賀県","","","東近江市","ひがしおうみし","2006-01-01","蒲生町(25382)、能登川町(25403)が東近江市(25213)に編入
神崎郡(25400)の廃止"
"25214","滋賀県","","","米原市","まいばらし","2005-02-14","山東町(25461)、伊吹町(25462)、米原町(25463)が合併し、米原市(25214)を新設"
"25214","滋賀県","","","米原市","まいばらし","2005-10-01","近江町(25464)が米原市(25214)に編入
坂田郡(25460)の廃止"
"25301","滋賀県","滋賀郡","しがぐん","志賀町","しがちょう","2006-03-20","志賀町(25301)が大津市(25201)に編入
滋賀郡(25300)の廃止"
"25321","滋賀県","栗太郡","くりたぐん","栗東町","りっとうちょう","2001-10-01","栗東町(25321)が栗東市(25208)に市制施行
栗太郡(25320)の廃止"
"25341","滋賀県","野洲郡","やすぐん","守山町","もりやまちょう","1970-07-01","守山町(25341)が守山市(25207)に市制施行"
"25342","滋賀県","野洲郡","やすぐん","中主町","ちゅうずちょう","2004-10-01","中主町(25342)、野洲町(25343)が合併し、野洲市(25210)を新設
野洲郡(25340)の廃止"
"25343","滋賀県","野洲郡","やすぐん","野洲町","やすちょう","2004-10-01","中主町(25342)、野洲町(25343)が合併し、野洲市(25210)を新設
野洲郡(25340)の廃止"
"25361","滋賀県","甲賀郡","こうかぐん","石部町","いしべちょう","2004-10-01","石部町(25361)、甲西町(25362)が合併し、湖南市(25211)を新設
甲賀郡(25360)の廃止"
"25362","滋賀県","甲賀郡","こうかぐん","甲西町","こうせいちょう","2004-10-01","石部町(25361)、甲西町(25362)が合併し、湖南市(25211)を新設
甲賀郡(25360)の廃止"
"25363","滋賀県","甲賀郡","こうかぐん","水口町","みなくちちょう","2004-10-01","水口町(25363)、土山町(25364)、甲賀町(25365)、甲南町(25366)、信楽町(25367)が合併し、甲賀市(25209)を新設"
"25364","滋賀県","甲賀郡","こうかぐん","土山町","つちやまちょう","2004-10-01","水口町(25363)、土山町(25364)、甲賀町(25365)、甲南町(25366)、信楽町(25367)が合併し、甲賀市(25209)を新設"
"25365","滋賀県","甲賀郡","こうかぐん","甲賀町","こうかちょう","2004-10-01","水口町(25363)、土山町(25364)、甲賀町(25365)、甲南町(25366)、信楽町(25367)が合併し、甲賀市(25209)を新設"
"25366","滋賀県","甲賀郡","こうかぐん","甲南町","こうなんちょう","2004-10-01","水口町(25363)、土山町(25364)、甲賀町(25365)、甲南町(25366)、信楽町(25367)が合併し、甲賀市(25209)を新設"
"25367","滋賀県","甲賀郡","こうかぐん","信楽町","しがらきちょう","2004-10-01","水口町(25363)、土山町(25364)、甲賀町(25365)、甲南町(25366)、信楽町(25367)が合併し、甲賀市(25209)を新設"
"25381","滋賀県","蒲生郡","がもうぐん","安土町","あづちちょう","2010-03-21","近江八幡市(25204)、安土町(25381)が合併し、近江八幡市を新設"
"25382","滋賀県","蒲生郡","がもうぐん","蒲生町","がもうちょう","2006-01-01","蒲生町(25382)、能登川町(25403)が東近江市(25213)に編入
神崎郡(25400)の廃止"
